CHAPTER I -	Another Day, Another Drachma	King Leonidas of Sparta
CHAPTER I -	Another Day, Another Drachma	480 BCE - Battle of Thermopylai
CHAPTER I -	Another Day, Another Drachma	Kephallonia Islands
CHAPTER I -	Another Day, Another Drachma	431 BCE
CHAPTER I -	Another Day, Another Drachma	So it Begins
CHAPTER I -	Another Day, Another Drachma	Debt Collector
CHAPTER I -	Another Day, Another Drachma	An Eye for an Eye
CHAPTER I -	Another Day, Another Drachma	Fancy Guests
CHAPTER I -	Another Day, Another Drachma	The Blood Fever
CHAPTER I -	Another Day, Another Drachma	Penelope's Shroud
CHAPTER I -	Another Day, Another Drachma	A Small Odyssey
CHAPTER I -	Another Day, Another Drachma	The Big Break
CHAPTER I -	Another Day, Another Drachma	UBISOFT PRESENTS
CHAPTER I -	Another Day, Another Drachma	ASSASSIN’S CREED ODYSSEY
CHAPTER I -	Another Day, Another Drachma	Learning the Ropes
CHAPTER I -	Another Day, Another Drachma	Equal Employment Opportunity Program
CHAPTER I -	Another Day, Another Drachma	A Journey Into War
CHAPTER I -	Another Day, Another Drachma	The Missing Map
CHAPTER I -	Another Day, Another Drachma	Portion Control
CHAPTER I -	Another Day, Another Drachma	A Family Ordeal
CHAPTER I -	Another Day, Another Drachma	The True Story
CHAPTER I -	Another Day, Another Drachma	The Final Push
CHAPTER I -	Another Day, Another Drachma	The Wolf of Sparta
CHAPTER I -	Another Day, Another Drachma	Onward to Phokis
CHAPTER I -	Another Day, Another Drachma	The Wolf’s Fate
CHAPTER I -	Another Day, Another Drachma	Consulting a Ghost
CHAPTER I -	Another Day, Another Drachma	The Truth Will Out
CHAPTER I -	Another Day, Another Drachma	Snake in the Grass
CHAPTER I -	Another Day, Another Drachma	The Serpent’s Lair
CHAPTER I -	Another Day, Another Drachma	Memories Awoken
CHAPTER I -	Another Day, Another Drachma	Welcome to Athens
CHAPTER I -	Another Day, Another Drachma	A Venomous Encounter
CHAPTER I -	Another Day, Another Drachma	Ostracized
CHAPTER I -	Another Day, Another Drachma	Perikles's Symposium
CHAPTER I -	Another Day, Another Drachma	Oil and Love
CHAPTER I -	Another Day, Another Drachma	Drink Up
CHAPTER I -	Another Day, Another Drachma	To Find a Girl
CHAPTER I -	Another Day, Another Drachma	To Help a Girl
CHAPTER I -	Another Day, Another Drachma	Follow That Boat
CHAPTER I -	Another Day, Another Drachma	Port of Lawlessness
CHAPTER I -	Another Day, Another Drachma	Monger Down
CHAPTER I -	Another Day, Another Drachma	First Do No Harm
CHAPTER I -	Another Day, Another Drachma	The Doctor Will See You Now
CHAPTER I -	Another Day, Another Drachma	The Priests of Asklepios
CHAPTER I -	Another Day, Another Drachma	Enough is Enough
CHAPTER I -	Another Day, Another Drachma	Written in Stone
CHAPTER I -	Another Day, Another Drachma	A Hearth for a Head
CHAPTER I -	Another Day, Another Drachma	Speak No Evil
CHAPTER I -	Another Day, Another Drachma	Ashes to Ashes
CHAPTER I -	Another Day, Another Drachma	Death Comes for Us All
CHAPTER I -	Another Day, Another Drachma	Island of Misfortune
CHAPTER I -	Another Day, Another Drachma	Abandoned by the Gods
