????	Kingdom_hearts_2.5_script.xml	afterCut-34	Roxas
?????	kingdom_hearts_3_script.xml	afterCut-1	Sora
?????	Kingdom_hearts_2.5_script.xml	afterCut-14	??????
?????	Kingdom_hearts_2.5_script.xml	afterCut-14	??????
?????	Kingdom_hearts_2.5_script.xml	afterCut-14	??????
??????	Kingdom_hearts_2.5_script.xml	afterCut-8	?????
??????	Kingdom_hearts_2.5_script.xml	afterCut-8	?????
??????	Kingdom_hearts_2.5_script.xml	afterCut-8	?????
????????	kingdom_hearts_3_script.xml	afterCut-1	Sora
????????	kingdom_hearts_3_script.xml	afterCut-1	Woody
????????	kingdom_hearts_3_script.xml	afterCut-1	Sora
????????	Kingdom_hearts_2.5_script.xml	afterCut-9	Ansem the Wise
????????	Kingdom_hearts_2.5_script.xml	afterCut-9	Ansem the Wise
Ansem the Wise	kingdom_hearts_3_script.xml	afterCut-1	Aqua
Ansem the Wise	kingdom_hearts_3_script.xml	afterCut-1	Aqua
Ansem the Wise	Kingdom_hearts_2.5_script.xml	afterCut-15	????????
Ansem the Wise	Kingdom_hearts_2.5_script.xml	afterCut-15	????????
Aqua	kingdom_hearts_3_script.xml	afterCut-1	Ansem the Wise
Aqua	kingdom_hearts_3_script.xml	afterCut-1	Ansem the Wise
Aqua	kingdom_hearts_3_script.xml	afterCut-1	Ansem the Wise
Axel	Kingdom_hearts_2.5_script.xml	afterCut-41	Roxas
Barbossa	kingdom_hearts_3_script.xml	afterCut-1	Jack Sparrow
Barbossa	Kingdom_hearts_2.5_script.xml	afterCut-13	Pete
Barbossa	Kingdom_hearts_2.5_script.xml	afterCut-13	Pete
Baymax	kingdom_hearts_3_script.xml	afterCut-1	????
Baymax	kingdom_hearts_3_script.xml	afterCut-1	Sora
Boy in Black	kingdom_hearts_3_script.xml	afterCut-1	Boy in White
Dark Riku	kingdom_hearts_3_script.xml	afterCut-1	Donald
Dark Riku	kingdom_hearts_3_script.xml	afterCut-1	Goofy
Dark Riku	kingdom_hearts_3_script.xml	afterCut-1	Goofy
Dark Riku	kingdom_hearts_3_script.xml	afterCut-1	Donald
Dark Riku	kingdom_hearts_3_script.xml	afterCut-1	Sora
Demyx	kingdom_hearts_3_script.xml	afterCut-1	Larxene
Demyx	Kingdom_hearts_2.5_script.xml	afterCut-24	Sora
Demyx	Kingdom_hearts_2.5_script.xml	afterCut-24	Sora
Donald & Goofy	Kingdom_hearts_2.5_script.xml	afterCut-27	Pete
Donald & Goofy	Kingdom_hearts_2.5_script.xml	afterCut-27	Pete
Donald & Goofy	Kingdom_hearts_2.5_script.xml	afterCut-27	Donald
Donald & Goofy	Kingdom_hearts_2.5_script.xml	afterCut-27	Sora
Donald & Goofy	Kingdom_hearts_2.5_script.xml	afterCut-27	Goofy
Elsa	kingdom_hearts_3_script.xml	afterCut-1	Sora, Donald, Goofy, Riku & Mickey
Everyone	kingdom_hearts_3_script.xml	afterCut-1	Go Go
Everyone	kingdom_hearts_3_script.xml	afterCut-1	Fred
Everyone	kingdom_hearts_3_script.xml	afterCut-1	Donald
Everyone	kingdom_hearts_3_script.xml	afterCut-1	Goofy
Everyone	kingdom_hearts_3_script.xml	afterCut-1	Sora
Everyone	kingdom_hearts_3_script.xml	afterCut-1	Donald
Everyone	kingdom_hearts_3_script.xml	afterCut-1	Hiro
Everyone	Kingdom_hearts_2.5_script.xml	afterCut-5	Donald
Gibbs	kingdom_hearts_3_script.xml	afterCut-1	Jack Sparrow
Gibbs	kingdom_hearts_3_script.xml	afterCut-1	Jack Sparrow
Gibbs	kingdom_hearts_3_script.xml	afterCut-1	Jack Sparrow
Gopher	kingdom_hearts_3_script.xml	afterCut-1	Lumpy
Gopher	kingdom_hearts_3_script.xml	afterCut-1	Piglet
Gopher	Kingdom_hearts_2.5_script.xml	afterCut-6	Pooh
Gopher	Kingdom_hearts_2.5_script.xml	afterCut-6	Pooh
Hades	kingdom_hearts_3_script.xml	afterCut-1	Sora
Hades	Kingdom_hearts_2.5_script.xml	afterCut-25	Pete
Hayner	Kingdom_hearts_2.5_script.xml	afterCut-30	Pence
Hayner	Kingdom_hearts_2.5_script.xml	afterCut-30	Olette
Jack	Kingdom_hearts_2.5_script.xml	afterCut-37	Sally
Jiminy	kingdom_hearts_3_script.xml	afterCut-1	Jiminy Cricket
Jiminy	kingdom_hearts_3_script.xml	afterCut-1	Sora, Donald & Goofy
Jiminy	kingdom_hearts_3_script.xml	afterCut-1	Goofy
Jiminy	kingdom_hearts_3_script.xml	afterCut-1	Sora
Jiminy	kingdom_hearts_3_script.xml	afterCut-1	Donald
Jiminy	kingdom_hearts_3_script.xml	afterCut-1	Yen Sid
Lea	kingdom_hearts_3_script.xml	afterCut-1	Kairi
Lingering Will	kingdom_hearts_3_script.xml	afterCut-1	Terra-Xehanort
Lumpy	kingdom_hearts_3_script.xml	afterCut-1	Sora
Meg	kingdom_hearts_3_script.xml	afterCut-1	Hercules
Meg	kingdom_hearts_3_script.xml	afterCut-1	Hercules
Meg	kingdom_hearts_3_script.xml	afterCut-1	Hercules
Meg	kingdom_hearts_3_script.xml	afterCut-1	Hercules
Merlin	Kingdom_hearts_2.5_script.xml	afterCut-9	Donald
Merlin	Kingdom_hearts_2.5_script.xml	afterCut-9	Yuffie
Merlin	Kingdom_hearts_2.5_script.xml	afterCut-9	Sora, Donald, and Goofy
Merlin	Kingdom_hearts_2.5_script.xml	afterCut-9	Aerith
Mickey	kingdom_hearts_3_script.xml	afterCut-1	Riku
Mickey	kingdom_hearts_3_script.xml	afterCut-1	Riku
Mickey	Kingdom_hearts_2.5_script.xml	afterCut-92	Ansem
Mickey	Kingdom_hearts_2.5_script.xml	afterCut-92	Sora
Naminé	kingdom_hearts_3_script.xml	afterCut-1	Star 2
Naminé	kingdom_hearts_3_script.xml	afterCut-1	Star 3
Naminé	kingdom_hearts_3_script.xml	afterCut-1	Star 4
Naminé	kingdom_hearts_3_script.xml	afterCut-1	Star 5
Naminé	kingdom_hearts_3_script.xml	afterCut-1	Star 6
Naminé	kingdom_hearts_3_script.xml	afterCut-1	Star 7
Naminé	kingdom_hearts_3_script.xml	afterCut-1	Star 8
Naminé	kingdom_hearts_3_script.xml	afterCut-1	Star 9
Naminé	kingdom_hearts_3_script.xml	afterCut-1	Star 10
Naminé	kingdom_hearts_3_script.xml	afterCut-1	Star 12
Naminé	kingdom_hearts_3_script.xml	afterCut-1	Star 13
Naminé	kingdom_hearts_3_script.xml	afterCut-1	Sora
Naminé	kingdom_hearts_3_script.xml	afterCut-1	Star 13
Naminé	kingdom_hearts_3_script.xml	afterCut-1	Sora
Naminé	kingdom_hearts_3_script.xml	afterCut-1	Sora
Naminé	kingdom_hearts_3_script.xml	afterCut-1	Sora
Naminé	kingdom_hearts_3_script.xml	afterCut-1	Sora
Naminé	kingdom_hearts_3_script.xml	afterCut-1	Sora
Naminé	kingdom_hearts_3_script.xml	afterCut-1	Sora
Naminé	kingdom_hearts_3_script.xml	afterCut-1	Sora
