Mena Massoud	Aladdin (Live-Action)	
Gilbert Gottfried	Aladdin: The Return of Jafar	
Liz Callaway	Aladdin: The Return of Jafar	
Liz Callaway	Aladdin and the King of Thieves	
Brad Kane	Aladdin: The Return of Jafar	
Brad Kane	Aladdin and the King of Theives	
Brad Kane	Aladdin	
Brad Kane	Aladdin and the King of Thieves	
Robin Williams	Aladdin and the King of Theives	
Robin Williams	Aladdin	
Merwin Foard	Aladdin and the King of Theives	
Jerry Orbach	Aladdin and the King of Thieves	
Naomi Scott	Aladdin (Live-Action)	
Lea Salonga	Aladdin	
Will Smith	Aladdin (Live-Action)	
Jonathan Freeman	Aladdin	
null	Aladdin and the King of Thieves	
Brian Hannan	Aladdin: The Return of Jafar	
Bruce Adler	Aladdin	
Dan Castellaneta	Aladdin: The Return of Jafar	
Joanathan Freeman	Aladdin: The Return of Jafar	
